2448,3243,白箱子
2697,3379,白箱子
2733,3095,紫刃流萤打箱子
2746,3175,余烬
2776,3049,一笔画（下图1）
2786,3069,白箱子
2817,3085,一笔画（下图2）
2872,2890,注意小怪
2872,2926,白箱子
2888,3135,注意小怪
2898,3296,白箱子
2928,2875,神龛·火去烧树枝
2929,3107,射三个树上箭靶子
2954,3130,石头在2968，3177
2973,2906,苹果喂蜥蜴
2975,3446,射三个树上箭靶子
2988,3185,紫刃流萤打灯
3000,3092,需要山下对话跳台子
3010,3520,白箱子
3013,3061,余烬
3024,3266,雕像后紫箱子
3040,3060,紫刃流萤打箱子
3040,3288,射三个箭靶子
3047,3312,白箱子
3066,3169,打石柱参考下图
3133,3260,石头在3070，3280
3195,3430,需要山下对话跳台子
3196,3076,紫刃流萤打灯
3217,3169,箱子
3233,3150,神龛·火烧树枝
3234,3084,需要3阶紫刃流萤
3243,3024,余烬
3381,3145,白箱子
2790,3170,打石头
2290,3381,F1
2933,3248,F2
